MovieID,Title,Genre,ReleaseYear,Director,Rating,Duration,Country
1,Life Is Beautiful (1),Drama,2006,James Cameron,8.1,151,Japan
2,Oppenheimer (2),Animation,2011,Guillermo del Toro,8.4,194,UK
3,Oppenheimer (3),Thriller,1979,Makoto Shinkai,9.4,96,France
4,Up (4),Thriller,2023,David Fincher,7.7,124,USA
5,The Godfather (5),Thriller,1981,Pixar Team,8.5,111,UK
6,Goodfellas (6),Fantasy,2014,Anthony Russo,8.7,106,Germany
7,Ratatouille (7),Action,2017,Christopher Nolan,7.2,104,South Korea
8,Up (8),Romance,2002,Martin Scorsese,6.6,188,Japan
9,Ratatouille (9),Drama,1997,Anthony Russo,8.3,191,Japan
10,The Godfather Part II (10),Thriller,1976,Guillermo del Toro,6.7,92,France
11,Avengers: Endgame (11),Thriller,2000,James Cameron,7.5,149,UK
12,Interstellar (12),Crime,2003,Quentin Tarantino,8.8,162,UK
13,Cinema Paradiso (13),Action,1987,Steven Spielberg,8.1,188,Germany
14,Pulp Fiction (14),Fantasy,1972,Christopher Nolan,7.9,190,UK
15,Oppenheimer (15),Drama,1986,Pixar Team,6.7,194,UK
16,Goodfellas (16),Fantasy,1990,Bong Joon-ho,7.8,195,Mexico
17,The Matrix (17),Fantasy,2004,Christopher Nolan,8.0,128,UK
18,Avatar (18),Fantasy,1973,Bong Joon-ho,9.1,164,France
19,The Prestige (19),Thriller,1992,Christopher Nolan,8.2,157,USA
20,Coco (20),Crime,1998,Ridley Scott,7.5,168,Japan
21,Inside Out (21),Action,2020,Hayao Miyazaki,7.8,135,South Korea
22,Inception (22),Animation,2017,Guillermo del Toro,8.8,95,Italy
23,The Hateful Eight (23),Romance,1995,James Cameron,8.7,133,Mexico
24,Interstellar (24),Crime,1995,Makoto Shinkai,7.7,174,Italy
25,Gladiator (25),Action,2013,Hayao Miyazaki,8.5,93,Mexico
26,Titanic (26),Crime,2016,Martin Scorsese,7.0,182,Italy
27,The Shawshank Redemption (27),Drama,2004,Makoto Shinkai,7.1,90,Mexico
28,Memento (28),Thriller,1978,Anthony Russo,7.3,164,Japan
29,Frozen (29),Romance,1995,Bong Joon-ho,6.7,144,Mexico
30,The Matrix (30),Action,1995,James Cameron,8.9,145,UK
31,Kill Bill: Vol. 1 (31),Sci-Fi,2017,James Cameron,8.5,190,France
32,Pulp Fiction (32),Thriller,2017,Pixar Team,6.9,185,USA
33,Toy Story (33),Fantasy,1978,Pixar Team,7.7,110,UK
34,Avengers: Endgame (34),Thriller,2002,Christopher Nolan,8.4,97,Mexico
35,The Hateful Eight (35),Animation,2019,Steven Spielberg,8.0,100,South Korea
36,Children of Men (36),Thriller,1986,Steven Spielberg,8.0,127,Germany
37,The Silence of the Lambs (37),Sci-Fi,2012,Francis Ford Coppola,7.0,90,UK
38,Titanic (38),Crime,2013,Ridley Scott,6.5,161,Japan
39,Se7en (39),Drama,1989,Ridley Scott,8.4,180,UK
40,Avatar (40),Crime,1970,Anthony Russo,8.4,128,Italy
41,Oldboy (41),Romance,1991,Makoto Shinkai,7.9,115,Germany
42,Django Unchained (42),Drama,1978,Alfonso Cuaron,8.4,170,South Korea
43,Titanic (43),Sci-Fi,2006,Bong Joon-ho,7.4,116,Germany
44,Inception (44),Fantasy,1983,Quentin Tarantino,7.6,101,USA
45,The Departed (45),Action,1982,Anthony Russo,7.3,127,South Korea
46,Oldboy (46),Romance,1997,Francis Ford Coppola,8.6,174,Italy
47,The Prestige (47),Action,2007,Makoto Shinkai,8.7,125,Germany
48,Inside Out (48),Romance,1991,Alfonso Cuaron,8.5,153,Japan
