snapshot_id,book_id,year,market,channel,units_sold_thousands
1,85,2022,APAC,Online,18
2,13,2017,APAC,Online,58
3,33,2021,UK,Online,34
4,37,1981,UK,Online,96
5,18,2015,US,Online,77
6,9,2005,EU,Online,106
7,12,2009,APAC,Online,139
8,19,2010,APAC,Retail,100
9,67,2009,LATAM,Online,65
10,28,2019,US,Online,80
11,99,2021,APAC,Retail,31
12,35,2008,APAC,Retail,41
13,4,2011,EU,Online,119
14,42,2011,EU,Online,15
15,19,1990,LATAM,Retail,66
16,96,2010,APAC,Retail,27
17,15,2004,UK,Retail,94
18,65,1999,EU,Retail,59
19,62,1961,UK,Online,95
20,33,2019,LATAM,Retail,46
21,11,2013,APAC,Online,84
22,54,2009,UK,Online,47
23,93,2010,US,Retail,39
24,97,2021,EU,Retail,60
25,37,1985,LATAM,Retail,61
26,98,2022,APAC,Retail,54
27,83,2017,US,Online,26
28,68,2021,EU,Online,27
29,57,2013,APAC,Retail,22
30,64,2019,APAC,Online,95
31,95,2010,EU,Online,15
32,85,1978,LATAM,Online,19
33,55,2022,APAC,Online,24
34,87,2010,US,Online,34
35,21,2017,EU,Online,69
36,4,2011,LATAM,Online,117
37,86,1954,EU,Online,31
38,98,2009,UK,Online,29
39,31,2012,LATAM,Online,62
40,87,2010,LATAM,Online,49
41,37,2014,US,Online,55
42,47,2015,APAC,Retail,42
43,69,2017,APAC,Retail,30
44,4,1953,US,Retail,103
45,74,2009,EU,Retail,46
46,76,1974,US,Online,19
47,97,2024,LATAM,Retail,40
48,72,2017,LATAM,Online,27
49,52,1999,LATAM,Retail,54
50,31,1995,APAC,Online,63
51,86,1981,UK,Online,12
52,53,1953,LATAM,Retail,36
53,90,1991,UK,Online,16
54,83,2018,LATAM,Online,25
55,88,2024,LATAM,Retail,55
56,83,2020,US,Retail,14
57,15,2017,LATAM,Retail,116
58,63,1960,US,Retail,99
59,40,2007,UK,Online,58
60,14,2013,US,Online,161
61,82,1974,US,Online,35
62,37,2005,EU,Retail,45
63,59,1961,LATAM,Retail,42
64,41,2022,EU,Retail,69
65,39,1992,EU,Online,26
66,49,1982,UK,Retail,39
67,50,1995,UK,Online,40
68,90,1981,EU,Retail,20
69,14,2022,APAC,Online,160
70,48,1979,US,Online,33
71,98,2000,UK,Retail,52
72,12,2019,EU,Retail,73
73,35,2024,LATAM,Retail,47
